Offence,Act,Class
Obstruction of an officer in the exercise of a power conferred by a warrant etc,"Anti-terrorism, Crime & Security Act 2001 Sec 52",H*
Obtain benefits or advantage for himself or anyone else by making dishonest representations,"Immigration and Asylum Act 1999 Sec 102(1), (2)",H*
Obtaining an award or a sum by deliberately committing an act or making an omission,Fire and Rescue Services Act 2004 Sec 34(6) (7),H*
Obtaining property in respect of which money is owed by a bankrupt,Insolvency Act 1986 Sec 359(2),H*
Obtaining services dishonestly,Fraud Act 2006 Sec 11,F/G/K
Occupier fails to comply with any duty or direction imposed on him by or under Part 7; person knowingly or recklessly makes a statement which is false or misleading,"Anti-terrorism, Crime & Security Act 2001 Sec 67",H*
Offence committed by license holder - importation and storage of combustible gas,"Energy Act 2008 S.9(1)(a), (b) & (d) & (5)",H*
Offence Committed by license holder - storage of carbon dioxide,"Energy Act 2008 S.23(1)(a), (b) & (d) & (3)",H*
Offence in relation to the unlawful EXPORTATION of a drug controlled under the Misuse of Drugs Act 1971 CLASS C,"Customs and Excise Management Act 1979 SS.68(2) & (4); 170(1), (2), (3) & (4); Sch.1 ",C
Offence in relation to the unlawful exportation of any weapon or ammunition of a kind mentioned in S 5(1)(a)(ab)(aba)(ac)(ad)(ae)(af) or c of Firearms Act 1968,Customs and Excise Management Act 1979 Sec 68(2)(3)(4A),H*
Offence in relation to the unlawful IMPORTATION of a drug controlled under the Misuse of Drugs Act 1971 CLASS C,"Customs and Excise Management Act 1979 SS.50(2), (3) & (5); 170(1), (2), (3) & (4); Sch.1",C
Offence in relation to the unlawful importation of any weapon or ammunition of a kind mentioned in S 5(1)(a)(ab)(aba)(ac)(ad)(ae)(af) or c of Firearms Act 1968,Customs and Excise Management Act 1979 Sec 50(1)(2)(3)(4)(5A),F/G/K
Offence of failure to comply with approved programme - nuclear sites: decommissioning and clean - up,Energy Act 2008 S.57,H*
Offence of further disclosure of information - nuclear sites: decommissioning and clean-up,Energy Act 2008 S.59,H*
Offence of supplying false information - nuclear sites: decommissioning and clean-up,Energy Act 2008 S.60,H*
Offences against importation of animals carcasses etc. - Except RABIES ,Animal Health Act 1981 and orders made under Sec 10(1),H*
Offences against Misuse of Drugs Regulations etc,Misuse of Drugs Act 1971 Sec 18,H*
Offences as to securing possession of property,Public Service Vehicles (Enforcement Powers) Regulations 2009,H*
Offences b) Triable-either-way,"Companies Acts 1948 to 1985 (Excl. Secs 70, 295, 302, 458, 490, 624 and 625 of the 1985 Act)",H*
Offences in connection with information requirements,"Communications Act 2003 Sec 144,393 and Sch 11 p 12,13",H*
Offences in connection with registration,Restrictive Trade Practices Act 1976 Sec 38,H*
Offences in relation to certain dangerous articles,Aviation Security Act 1982 Sec 4,H*
Offences in relation to enforcement officers,Marine and Coastal Access Act 2009 s.292 (1) (a) & (b) & (7),H*
Offences in relation to notification requirements,Counter-Terrorism Act 2008 S.54,H*
Offences in relation to public health,Radioactive Substances Act 1960 Sec 13(1),H*
Offences in relation to warranties and certificates of analysis,Medicines Act 1968 Sec 123,H*
Offences made under these Regulations,Animal By-Products Regulations 2003,H*
Offences of Carrying on unlicensed activities - importation and storage of combustible gas,Energy Act 2008 S.8,H*
Offences of carrying on unlicensed activities - storage of carbon dioxide,Energy Act 2008 S.22,H*
Offences of damaging etc protected features of MCZs ,"Marine and Coastal Access Act 2009 ss 139, 163, 190 & 292 (4), (5) & (7)",H*
"Offences of prejudicing an investigation disclosures likely to prejudice investigation; Falsifies, conceals, destroys or otherwise disposes of etc. documents relevant to investigation",Proceeds of Crime Act 2002 Sec. 342,H*
Offences relating to chemical weapons,Chemical Weapons Act 1996 (except Secs 2 & 11),H*
"Offences relating to containers, packages and identification of medicinal products",Medicines Act 1968 Sec 91(1),H*
Offences relating to information notices,"Health and Safety at Work etc. Act 1974 Secs 27, 28, 33(1)(i), 33(1)(j) and 33(3)",H*
"Offences relating to offering, promising or giving bribes",Bribery Act 2010 Sec 1 (2) (a) (b) (i) (ii) & (3),I
Offences relating to opium,Misuse of Drugs Act 1971 Sec 9 ,B
Offences relating to Registrar Generals licence & recording of civil partnerships ,"Civil Partnership Act 2004 Sec 32 (1)(a)(b),32(2),33(1)(2),33(7)(8)",H*
"Offences relating to requesting, agreeing to receive and accepting bribes",Bribery Act 2010 Sec 2 (2) (3) (4)& (5) ,I
Offences relating to the Disability Discrimination Act 1995 and Regulations made under it (TEW and indictable offences),Disability Discrimination Act 1995 (TEW & Indictable offences),H*
Offences relating to the introduction of new species,Wildlife and Countryside Act 1981 S. 14 (1) & 18 (2),H*
Offences relating to the purchase and sale of specimans listed in Annex A to Council Regulations (EC) No 338/97,Control of Trade in Endangered Species (Enforcement) Regulations 1997,H*
Offences relating to the sale and supply of starting materials for use in the manufacture of relevant medicinal products,"Medicines for Human Use (Manufacturing, Wholesale Dealing and Miscellaneous Amendments) Regulations 2005 Reg 5",H*
Offences relating to unlawful broadcasts.,Wireless Telegraph Act 2006 S.85 & 93(1).,H*
"Offences triable either way. Makes for sale or hire, imports, possesses or distributes articles which infringes the copyright. Makes, imports or distributes illicit recordings","Copyright, Designs and Patents Act 1988 Sec 107 (1)a, b, d(iv) & e and Sec 198 (1)a, b & d(iii)",H*
Offences triable either way. Unauthorised use of Trade Mark etc. in relation to goods Falsification of Register etc,Trade Marks Act 1994 Secs. 92 & 94.,H*
Offences under health and safety regulations or other Acts with penalty under Section 33(3). Health and Safety at Work etc Act 1974,Health and Safety at Work etc. Act 1974 Secs 33(1)(c) and 33(3),H*
"Offences under Parts I, II & III","Insurance Companies Act, 1982 Sec 14, 71(2) & 81",H*
"Offences under Secs 3, 4, 5, 8 & 9.","Nuclear Safeguards Act 2000 Sec 3, 4, 5, 8 & 9",H*
Operator failing to comply with requirements imposed by Article 3 of Community Regulation ,Controlled Drugs (Drug Precursers (Intra-community Trade) Regulations 2008,H*
Operator who fails to comply with requirements imposed by Article 6 or 7 of council regulation (EC) No 111/2005 - licensing and registration of operators,Controlled Drugs (Drug Precursers (Intra-community Trade) Regulations 2008,H*
Operator who fails to comply with requirements imposed by regulation 6 - EXPORTS,Controlled Drugs (Drug Precursers (Intra-community Trade) Regulations 2008,H*
Operator who fails to comply with requirements imposed by regulation 7 - IMPORTS,Controlled Drugs (Drug Precursers (Intra-community Trade) Regulations 2008,H*
Operator's disc,Public Passenger Vehicles Act 1981 Sec 65(1)(d) & (2),H
Organisation convicted of corporate manslaughter/homicide fail to comply with order to publish particulars of offences ,Corporate Manslaughter and Corporate Homicide Act 2007 sec 10,H*
Organisation convicted of corporate manslaughter/homicide fail to comply with remedial order,Corporate Manslaughter and Corporate Homicide Act 2007 sec 9,H*
Other acts endangering or likely to endanger safe navigation,Aviation and Maritime Security Act 1990 Sec 12,H*
Other acts endangering safety of aircraft,"Aviation Security Act 1982 Sec 3, 6",H*
Other criminal damage to a building other than a dwelling,"Explosive Substance Act 1883 Sec 2,3",A
Other criminal damage to a building other than a dwelling,"Explosive Substance Act 1883 Sec 2,3",B
Other criminal damage to a building other than a dwelling,"Criminal Damage Act 1971 Sec 1(1)",B
Other criminal damage to a building other than a dwelling,"Criminal Damage Act 1971 Sec 1(1)",C
Other criminal damage to a building other than a dwelling £500-£5000,"Explosive Substance Act 1883 Sec 2,3",B
Other criminal damage to a building other than a dwelling £500-£5000,"Criminal Damage Act 1971 Sec 1(1)",C
Other criminal damage to a dwelling,"Explosive Substance Act 1883 Sec 2,3",B
Other criminal damage to a dwelling,"Criminal Damage Act 1971 Sec 1(1) ",C
Other criminal damage to a dwelling £500-£5000,"Explosive Substance Act 1883 Sec 2,3",B
Other criminal damage to a dwelling £500-£5000,"Criminal Damage Act 1971 Sec 1(1) ",C
Other criminal damage to a vehicle,"Explosive Substance Act 1883 Sec 2,3",B
Other criminal damage to a vehicle,"Criminal Damage Act 1971 Sec 1(1) ",C
Other criminal damage to a vehicle £500-£5000,"Explosive Substance Act 1883 Sec 2,3",B
Other criminal damage to a vehicle £500-£5000,"Criminal Damage Act 1971 Sec 1(1) ",C
"Other criminal damage, other","Explosive Substance Act 1883 Sec 2,3",A
"Other criminal damage, other","Explosive Substance Act 1883 Sec 2,3",B
"Other criminal damage, other","Criminal Damage Act 1971 Sec 1(1)",B
"Other criminal damage, other","Criminal Damage Act 1971 Sec 1(1)",C
"Other criminal damage, other","Malicious Damage Act 1861 Secs 35, 36, 47,48",H*
"Other criminal damage, other","Ancient Monuments & Archaeological Areas Act 1979 Sec 28(1)",H*
"Other criminal damage, other","Post Office Act 1953 Sec 60",H*
"Other criminal damage, other","Salmon and Freshwater Fisheries Act 1975 Sec 5",H*
"Other criminal damage, other £500-£5000","Explosive Substance Act 1883 Sec 2,3",B
"Other criminal damage, other £500-£5000","Criminal Damage Act 1971 Sec 1(1)",B
"Other criminal damage, other £500-£5000","Criminal Damage Act 1971 Sec 1(1)",C
"Other criminal damage, other £500-£5000","Malicious Damage Act 1861 Secs 35, 36, 47,48",H*
"Other criminal damage, other £500-£5000","Ancient Monuments & Archaeological Areas Act 1979 Sec 28(1)",H*
"Other criminal damage, other £500-£5000","Post Office Act 1953 Sec 60",H*
"Other criminal damage, other £500-£5000","Salmon and Freshwater Fisheries Act 1975 Sec 5",H*
Other frauds,Various,H*
Other frauds by company directors,Companies Act 1985 Sec 70(1),H*
Other offences relating to prison security,Prison Act 1952 as inserted by Offender Management Act 2007,H*
Other triable-either-way offences,"Telecommunications Act 1984 Secs. 5, 28, 29, 53(3) (4), 101",H*
Owner / master contravene regulations under s 13 (1) (a) - (c),Merchant Shipping (Technical Requirements for Inland Waterway Vessels) Regulations 2010,H*
Owner contravening pilot transfer arrangements.,The Merchant Shipping (Pilot Transfer Arrangements) Regs 1999 Reg 5 (SI 17/99),H*
Owner or Master of ship makes an entry in oil record book knowing it to be false or misleading,Merchant Shipping Act 1995 Sec 142(8),H*
Owner or person in charge allowing dog to be dangerously out of control in a public place injuring any person,Dangerous Dogs Act 1991 Sec 3(1),C
Owner or person in charge allowing dog to enter a non-public place and injure any person,Dangerous Dogs Act 1991 Sec 3(3),C
Participant of trading scheme make any payment to or for benefit of the promotor(s),Fair Trading Act 1973 Sec 120(4),H*
Participate in activity object/effect to circumvent Art 7(1)/8(1) prohibition enable/facilitate Art 7/8 offence. ,Terrorism (UN Measures) Order 2006 S.10 & 13(1).,H*
Pass etc. counterfeit coin or note as genuine,Forgery & Counterfeiting Act 1981 Sec 15,G
Paying for the sexual services of a child - Female child under 13,Sexual Offences Act 2003 Sec 47,J
Paying for the sexual services of a child - Female child under 16,Sexual Offences Act 2003 Sec 47,J
Paying for the sexual services of a child - Female child under 16 - no penetration,Sexual Offences Act 2003 Sec 47,J
Paying for the sexual services of a child - Female child under 18,Sexual Offences Act 2003 Sec 47,J
Paying for the sexual services of a child - Male child under 13,Sexual Offences Act 2003 Sec 47,J
Paying for the sexual services of a child - Male child under 16,Sexual Offences Act 2003 Sec 47,J
Paying for the sexual services of a child - Male child under 16 - no penetration,Sexual Offences Act 2003 Sec 47,J
Paying for the sexual services of a child - Male child under 18,Sexual Offences Act 2003 Sec 47,J
Performs an aviation function or ancillary function when impaired by drink or drugs,"Railways and Transport Safety Act 2003 Secs 92,95",H*
Perjury - judicial proceedings,Perjury Act 1911 Sec 1,I
Permitting child to be in verminous condition,Education Act 1996 Sec 525,H*
Permitting defective to use premises for intercourse,Sexual Offences Act 1956 s 27 ,D
Permitting girl under 13 to use premises for intercourse,Sexual Offences Act 1956 s 25 ,J
Permitting girl under 16 to use premises for intercourse,Sexual Offences Act 1956 s 26 ,J
Permitting premises to be used for unlawful purposes - Amphetamine,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Anabolic steroids,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Cannabis,Misuse of Drugs Act 1971 as amended by The Misuse of Drugs Act 1971 (amendment) Order 2008,B
Permitting premises to be used for unlawful purposes - Class A - Other,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Class B - Mephedrone including cathinone derivatives ,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Class B - Other,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Class C - Other,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Class unspecified,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Cocaine,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Crack,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Crystal Meths,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - GHB,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - GHB,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Heroin,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - LSD,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - MDMA,Misuse of Drugs Act 1971 Sec 8,B
Permitting premises to be used for unlawful purposes - Methadone,Misuse of Drugs Act 1971 Sec 8,B
Permitting the failure to keep proper accounting records,Companies Act 1985 Sec 221 (5)(6),H*
"Person breaches, without reasonable excuse, an obligation imposed on him by a control order. ",Prevention of Terrorism Act 2005 Sec 9 (1)(4),H*
Person contravening company directors disqualification order,Company Directors Disqualification Act 1986 Sec 1&13,H*
Person discloses any information in contravention of direction made under Section 18,"Anti-terrorism, Crime & Security Act 2001 Sec 18(6)",H*
Person in respect of whom a debt relief order is made obtain credit/engage in business without disclosing status/name.,"Insolvency Act 1986 as inserted by Sch.1 Tribunals, Courts and Enforcement Act 2007 S.251S.",H*
Person knowingly concerned in provision of technical assistance as defined in the 2005 regulations etc.,"Export of Goods, Transfer of Technology & Provision of Technical Assistance (Control) Order 2003 SI 2003/2764 A16(5) & (5A)",H*
Person knowingly offers a disqualified person work in a regulated position.,Criminal Justice and Court Services Act 2000 Sec 33(1),H*
Person knowingly or recklessly discloses information obtained under 88(2).,Immigration and Asylum Act 1999 Sec 88,H*
Person made bankrupt in Scotland or Northern Ireland obtaining credit etc. in England and Wales,Insolvency Act 1986 Sec 360(3),G
Person obstructing the Information Commissioner in the course of his duty etc,Data Protection Act 1998 S 54A as added by Crime (International co-operation) Act 2003 Sec 81,H*
Person using offending words or behaviour - broadcasting or including programme in programme service (Acts intended to stir up religious hatred). ,Public Order Act 1986 Sec 29F (1)(2)(c) as added by Racial and Religious Hatred Act 2006,H*
"Person who has been given, or shown protected material, gives a copy or otherwise to any person other than the defendant",Sexual Offences (Protected Material) Act 1997 Sec 8(2)(a),H*
"Person who has been given, or shown, protected material, gives a copy or otherwise to the defendant when not supposed to",Sexual Offences (Protected Material) Act 1997 Sec 8(2)(b),H*
Person who provides immigration advice or services in contravention of Sec 79 (provision of immigration services) or of restraining order ,Immigration and Asylum Act 1999 Sec 86(1),H*
Piperazines (including BZP),Misuse of Drugs Act 1971 (Amendment) Order 2009,C
Piperazines (including BZP),Misuse of Drgus Act 1971 (Amendment) Order 2009,C
Piperazines (including BZP),Misuse of Drugs Act 1971 (Amendment) Order 2009,H*
Piperazines (including BZP),Misuse of Drugs Act 1971 (Amendment) Order 2009,C
Piperazines (including BZP),Misuse of Drugs Act 1971 (Amendment) Order 2009,B
Piracy,Piracy Acts 1698 - 1721 & Piracy Act 1837 Sec 3,H*
Piracy with violence,Piracy Act 1837 Sec 2,H*
Placing explosives in or near buildings with intent to do bodily harm,Offences against the Person Act 1861 Sec 30,B
Placing in a women a human embryo which has been created otherwise than by fertilisation,Human Reproductive Cloning Act 2001 Sec. 1,H*
Placing on market or using nonyphenol or nonyphenol ethoxylate,Control on Nonyphenol and Nonyphenol Ethoxylate Regs 2004 Regs 4 & 5,H*
Placing or dispatching articles to cause a bomb hoax,Criminal Law Act 1977 Sec. 51,C
Pollution of controlled water,Water Resources Act 1991 Sec 85,H*
Pollution Offences,Control of Pollution Act 1974 Sec 77,H*
Posessing prohibited images of children,Coroners and Criminal Justice Act 2009 S.62(1) & 66(2),H*
Possess / control a false / improperly obtained / another persons identity document,Identity Documents Act 2010 S6,H*
Possess / control identity documents with intent,Identity Documents Act 2010 S4,H*
"Possess certain articles with a view to contamination of or interference with goods with intention of causing public alarm, anxiety, economic loss, etc.",Public Order Act 1986 Sec 38(3),B
Possess counterfeit coin or note,Forgery & Counterfeiting Act 1981 Sec 16,G
Possess false instrument or materials to make false instrument,Forgery & Counterfeiting Act 1981 Sec 5,F/G/K
Possess false mental health document,Mental Health Act 1983 Sec 126(1),H*
Possess materials or dies to make counterfeit coin or note,Forgery & Counterfeiting Act 1981 Sec 17,G
Possess radioactive material with intent use it in commission/preparation for terrorism,Terrorism Act 2006 Sec 9,H*
Possess terrorist publication with view to distribution/sale/ loan/read/listen to/seen etc.,Terrorism Act 2006 Sec 2(2)(f) & 11.,H*
Possess video recording of unclassified work for the purpose of supply,Video Recordings Act 1984 Sec 10 as amended by the Criminal Justice and Public Order Act 1994 Sec 88(3),H*
Possess/control artcile(s) for use in fraud(s),Fraud Act 2006 Sec 6,F/G/K
Possess/control wireless telegraphy station/apparatus with intent for self/another to use it to contravene S.8 and S.35(2). ,Wireless Telegraphy Act 2006 S.36(1)(2).,H*
Possessing anything with intent to destroy or damage property,Criminal Damage Act 1971 Sec 3 ,C
Possessing etc. firearms or ammunition without firearm certificate,Firearms Act 1968 Sec 1(1) (Gp I) as amended by Criminal Justice & Public Order Act 1994 Sec. 157 Sch. 8 part III ,C
Possessing etc. shotgun without certificate ,Firearms Act 1968 Sec 2(1) (GpI I) as amended by Criminal Justice & Public Order Act 1994 Sec. 157 Sch. 8 part III ,C
Possessing firearm or imitation firearm while committing or being arrested for offence specified below,Firearms Act 1968 Sec 17(2),B
Possessing firearm or imitation firearm while committing or being arrested for offence specified below,Firearms Act 1968 Sec 17(2),B
Possessing firearm or imitation firearm while committing or being arrested for offence specified below ,Firearms Act 1968 Sec 17(2),B
Possessing firearm or imitation firearm with intent to cause fear of violence ,Firearms Act 1968 Sec 16A,H*
Possessing firearm or imitation firearm with intent to cause fear of violence ,Firearms Act 1968 Sec 16A,H*
Possessing firearm or imitation firearm with intent to cause fear of violence ,Firearms Act 1968 Sec 16A,H*
Possessing firearm or imitation firearm with intent to commit indictable offence or resist arrest ,Firearms Act 1968 Sec 18(1),B
Possessing firearm or imitation firearm with intent to commit indictable offence or resist arrest ,Firearms Act 1968 Sec 18(1),B
Possessing firearm or imitation firearm with intent to commit indictable offence or resist arrest ,Firearms Act 1968 Sec 18(1),B
Possessing obscene material for gain,Obscene Publications Act 1959 Sec 2 as amended by the Obscene Publications Act 1964 Sec 1,H
Possessing or distributing firearm designed as other object,Firearms Act 1968 Sec 5(1A)(a) as amended by the Criminal Justice Act 2003 Sec 288,B
Possessing or distributing other prohibited weapons,Firearms Act 1968 Sec 5(1A)(b)(c)(d)(e)(f)(g) as amended by the Criminal Justice Act 2003 Sec 288,B
Possessing or distributing prohibited weapons designed for discharge of noxious substances etc,Firearms Act 1968 Sec 5(2)(b) as amended by the Criminal Justice Act 2003 Sec 288,B
Possessing or distributing prohibited weapons or ammunition ,Firearms Act 1968 Sec 5(1) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,B
Possession of a controlled drug with intent to supply - Amphetamine,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - Anabolic steroids,Misuse of Drugs Act 1971 Sec5(3) ,C
Possession of a controlled drug with intent to supply - cannabis,Misuse of Drugs Act 1971 as amended by The Misuse of Drugs Act 1971 (amendment) Order 2008,B
Possession of a controlled drug with intent to supply - Class A - Other,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - Class B - Mephedrone including cathinone derivatives ,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - Class B - Other,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - Class C - Other,Misuse of Drugs Act 1971 Sec5(3) ,C
Possession of a controlled drug with intent to supply - Class unspecified,Misuse of Drugs Act 1971 Sec5(3) ,H*
Possession of a controlled drug with intent to supply - Cocaine,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - Crack,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - Crystal Meths,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - GHB,Misuse of Drugs Act 1971 Sec5(3) ,C
Possession of a controlled drug with intent to supply - GHB,Misuse of Drugs Act 1971 Sec5(3) ,C
Possession of a controlled drug with intent to supply - Heroin,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - LSD,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - MDMA,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of a controlled drug with intent to supply - Methadone,Misuse of Drugs Act 1971 Sec5(3) ,B
Possession of an indecent or pseudo indecent photo of a child,Criminal Justice Act 1988 Sec 160 amended by Criminal Justice & Court Services Act 2000 Sec 38,H*
Possession of anatomical specimens away from licensed premises,Human Tissue Act 2004 Sec 30(1)(7),H*
Possession of explosives with intent to endanger life,Explosive Substances Act 1883 Sec 3(1)(b),A
Possession of extreme pornographic image - a person performing an act of intercourse or oral sex with an animal (whether dead or alive) (beastiality) ,Criminal Justice and Immigration Act 2008,H*
Possession of extreme pornographic images - an act which involves sexual interference with a human corpse (necrophilia),Criminal Justice and Immigration Act 2008,H*
"Possession of extreme pornographic images - an act which results, or is likely to result, in serious injury to a person's anus, breasts or genitals.",Criminal Justice and Immigration Act 2008,H*
Possession of extreme pornographic images - an act which threatens a person's life,Criminal Justice and Immigration Act 2008,H*
Possession of firearm with intent to injure (Group I),Firearms Act 1968 Sec 16,B
Possession of firearm with intent to injure (Group II),Firearms Act 1968 Sec 16,B
Possession of firearm with intent to injure (Group III),Firearms Act 1968 Sec 16,B
Possession of firearms by persons previously convicted of crime (Group I) ,Firearms Act 1968 Sec 21(4) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Possession of firearms by persons previously convicted of crime (Group II) ,Firearms Act 1968 Sec 21(4) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Possession of firearms by persons previously convicted of crime (Group III) ,Firearms Act 1968 Sec 21(4) as amended by Criminal Justice & Public Order Act 1994 Sec 157 Sch. 8 part III,C
Possession of former anatomical specimens away from licensed premises,Human Tissue Act 2004 Sec 31,H*
Possession of Immigration Stamp,"Immigration Act 1971 Sec 26B as added by Nationality, Immigration & Asylum Act 2002 Sec 149",H*
Possession of inflammatory material (Acts intended to stir up religious hatred). ,Public Order Act 1986 Sec 29G as added by Racial and Religious Hatred Act 2006,H*
Possession of offensive weapon without lawful authority or reasonable excuse,Offensive Weapons Act 1996 Sec 2(1),H*
Possession of other offensive weapon on school premises,Offensive Weapons Act 1996 Sec 4(1) ,H*
Possession on a ship of a controlled drug intended for trafficking - Class A,Criminal Justice (International Co-operation) Act 1990 Sec 19 ,H*
Possession on a ship of a controlled drug intended for trafficking - Class B,Criminal Justice (International Co-operation) Act 1990 Sec 19 ,H*
Possession on a ship of a controlled drug intended for trafficking - Class unspecified,Criminal Justice (International Co-operation) Act 1990 Sec 19 ,H*
Possession or supply anything for re-programming purposes,Mobile Telephones (Re-programming) Act 2000 Sec. 2,H*
Possession or supply of anything for fraudulent purpose in connection with use of telecommunication system,Telecommunications Act 1984 Sec 42A as added by Telecommunications (Fraud) Act 1997,H*
Possession or supply of apparatus etc for contravening Sec 125,Communications Act 2003 Sec 126,H*
Possession or under control of false documents etc. with intention of causing a third party to believe that the person in possession of the documentation or another person is a licensed gangmaster,"Gangmasters (Licensing) Act 2004 Sec 6,12(2)(3)&(4)",H*
Post Office servant opening or delaying postal packet,Post Office Act 1953 Sec 58,H*
"Post Office Servants disclosing, intercepting etc. telegrams etc",Telegraph Act 1868 Sec 20,H*
Power of fire authority to cancel a fire certificate,Fire Precautions Act 1971 Sec 8(7),H*
Power to restrict use of land,Civil Aviation Act 1982 Sec 45,H*
Preferential payment to creditor,Deeds of Arrangement Act 1914 Sec17,H*
Premises or equipment for producing chemical weapons,Chemical Weapons Act 1996 Sec 11,H*
"Preventing another person from appearing before an inspector, or from answering an inspector's question",Health and Safety at Work Act 1974 as amended by Health and safety (Offences) Act 2008,H*
Prevention and punishment of the crime of genocide,"Genocide Act, 1969 Sec 1(1)",H*
"Price regulation, price marking and price range notices. Restriction on disclosure of information","Prices Act 1974 Secs 2, 4 & 5 and Schedule (Sec 7) Paras 5(1) & 12(3)",H*
"Prints, devises or distributes in UK a tobacco advertisement","Tobacco Advertising & Promotion Act 2002 Secs 2(b), 16(2)",H*
Prison mutiny,Prison Security Act 1992 Sec 1,B
"Privity to fraud in anticipation of winding up; fraud, or privity to fraud, after commencement of winding up",Insolvency Act 1986 Sec 206(2),H*
Procuration of a girl under 21,Sexual Offences Act 1956 s 23,D
Procure person in UK to commit a S.82-85 offence abroad.,Wireless Telegraph Act 2006 S.87.,H*
Procurement of a defenctive,Sexual Offences Act 1956 s 9,D
Procurement of a woman by false pretences,Sexual Offences Act 1956 s 3,H
Procurement of a woman by threats,Sexual Offences Act 1956 s 2 ,H
Procuring a certificate using false or misleading information or withholding information,Town and Country Planning Act 1990 Sec 194,H*
Procuring drugs etc. to cause abortion,Offences against the Person Act 1861 Sec59,C
Procuring inclusion of tobacco advertisement in information society service,Tobacco Advertising and Promotion Act 2002 SS3A(2)(b) & 16(1)(a),H*
Procuring on false pretence/ representation a person under 18 to go abroad to perform for profit,Children and Young Persons Act 1933 Sec 25& 26,J
Producer or Director of programme - broadcasting or including programme in programme service (Acts intended to stir up religious hatred). ,Public Order Act 1986 Sec 29F (1)(2)(b) as added by Racial and Religious Hatred Act 2006,H*
Production of a cannabis plant,Misuse of Drugs Act 1971 Sec 6 ,B
Production or being concerned in production of a controlled drug - Amphetamine,Misuse of Drugs Act 1971 Sec 2 ,B
Production or being concerned in production of a controlled drug - Anabolic steroids,Misuse of Drugs Act 1971 Sec 2 ,C
Production or being concerned in production of a controlled drug - Class A - Other,Misuse of Drugs Act 1971 Sec 2 ,B
Production or being concerned in production of a controlled drug - Crack,Misuse of Drugs Act 1971 Sec 2 ,B
Production or being concerned in production of a controlled drug - Crystal Meths,Misuse of Drugs Act Sec 4(2),B
Production or being concerned in production of a controlled drug - GHB,Misuse of Drugs Act 1971 Sec 2 ,C
Production or being concerned in production of a controlled drug - GHB,Misuse of Drugs Act 1971 Sec 2,C
Production or being concerned in production of a controlled drug - LSD,Misuse of Drugs Act 1971 Sec 2 ,B
Production or being concerned in production of a controlled drug - MDMA,Misuse of Drugs Act 1971 Sec 2 ,B
Production or being concerned in production of a controlled drug - Unspecified,Misuse of Drugs Act 1971 Sec 2 ,H*
Production or being concerned in production of a controlled drug - Class B - Mephedrone including cathinone derivatives,Misuse of Drugs Act 1971 Sec 4 (2),B
Production or being concerned in production of a controlled drug - Class B - Other ,Misuse of Drugs Act 1971 Sec 2 ,B
Production or being concerned in production of a controlled drug - Class C - Other ,Misuse of Drugs Act 1971 Sec 2 ,C
Production or being concerned in production of a controlled drug - Cocaine ,Misuse of Drugs Act 1971 Sec 2 ,B
Production or being concerned in production of a controlled drug - Heroin ,Misuse of Drugs Act 1971 Sec 2 ,B
Production or being concerned in production of a controlled drug - Methadone ,Misuse of Drugs Act 1971 Sec 2 ,B
Prohibited descriptions of unhallmarked article;,Hallmarking Act 1973 Sec 1,H*
